seed_id,topic,title,text,embedded_errors,error_severity,quality_tier,domain
A011,history,Napoleon Ka Antim Barshaharu,"San 1815 ma Waterloo ma parajit bhaepachi, Napoleonlai mukhyatah Britain ko netritwama raheko gathabandhanले pakryo, ra unlai chhittai Saint Helena tapuma nirvasan gariyo, jaha uni san 1821 ma mrityu nahunjel paharama base. Napoleon yeti nirnayak roopma hareka le, unka kanuni sudharharu pachi chhittai bhatkaiyo ra France bahira tiniko khasai digo prabhav parena.","Gathabandhan ko sanrachanalai kam aankieko cha: Waterloo ko jeet ka lagi Blucher ko netritwama raheko Prussia-i sena atyawashyak thiyo, kewal Britain-i sena matra hoina.|Napoleon sanhita ko digo prabhavlai ekdamai kam aankieko cha, jasले unko harpachi pani Europe ko thulo bhag ko nagarik kanunlai aakar diyo.",moderate,factually_flawed,general_knowledge
A012,astronomy,Kina Hamilai Ritu haru Huncha,"Prithvi ko parikrama kaksha ek baliyo dirghavritta ho, ra hami surya ko najik hunda garmi huncha ra tada hunda jado huncha. Yehi karanले garmi prithvibhari ekai saath aaucha. Chandrama ko gurutwakarshanले pani pratyek barsha grahalai alikati jhukaucha, jasle kehi garmilai aru bhanda badhi tato banaucha.","Ritu haru akshiya jhukaw le huncha, parikrama ko duri le hoina; dui golardhama biprit ritu huncha.|Chandramaله prithvi ko jhukawlai barsha-barsha parivartan garnu bhanda sthir rakhcha; yesle warshik tapkraman bhinnata nimtyaudaina.",blatant,factually_flawed,general_knowledge
A013,education,Kina School ma Phone Kahilei Anumati Dinuhudaina,"Mero sathi ko chhora ko school ma gaeko barsha phone purna roopma pratibandh gariyo ra sabaile bhanchan vidyarthiharu ahile khushi dekhinchan, tyesaile yesले tungyaidincha — phone vidyarthika lagi spashtai hanikarak ho ra harek schoolله yeslai purna roopma pratibandh garnuparcha. Aajaka balbalikale screen ma herna yeti dherai samaya bitaunchan ki yesले uniharu ko kaksha ma dhyan kendrit garne kshamatalai hani puryairaheko spashtai cha.","Euta school bata prapta parokshha, gafgaf ma aadharit prabhavlai samanya karansambandhi dabi ko praman ko roopma prayog garieko cha; sahsambandhit, vyaktiparak manasthiti parivartanlai jatil anubhavjanya prashnalai tungo lagaune roopma lieko cha; phone anumati dine schoollai kunai pratiwad bichar nagari laparbahi gareko bhani chitran garieko cha.",none,weak_argument,education
A014,nepal_federalism,Kina Nepal le Pradeshik Pranali Hataunuparcha,"Sangiyata suru bhaedekhi, mero jillama kunai naya sadak wa aspatal baneko chaina, tyesaile suru dekhi nai sampurna pradeshik pranali paisa ko barbadi thiyo bhanne spashta cha. Sangiyataले sanchai gareko bhaneko samanya manislai kunai wastawik phaida nathapi lagat matra thapne thap mantri, karyalaya ra talab ka taha haru sirjana garnu ho. Nepal ekal kendriya sarkar antargat nai ramro thiyo.",Euta jilla ko anubhavbata sampurna deshvyapi sangiya pranali bareko nirnaya garieko cha; purwadhar nadekhinulai anya sambhawit vyakhya bichar nagari sangiyata aafai asafal bhako praman ko roopma lieko cha; ekatmak pranaliма pharkinda samasyaharu 'turuntai samadhan' hune dabi kunai samarthankari tarka binai gariएko cha.,none,weak_argument,government_civics
A015,nepal_constitution,Nepal ko Halko Sambidhan Kasari Banyo,"Nepal ko halko sambidhan san 2015 September ma jari bhako ho, desh ganatantra ghoshit bhaeko lagbhag saat barsha pachi, ra yo dosro sambidhansabhabata aayeko ho. Naya sambidhanले Nepal lai aupacharik roopma saat pradesh bhako sangiya ganatantra ko roopma sthapit garyo, san 2008 aghi ko ekatmak sanrachana ko thaunma.","Nepal san 2008 May ma ganatantra ghoshit bhako ho, ra sambidhan san 2015 September ma jari bhako ho — antar thikai ho, tara yo anucchedله prakriyalai purna roopma sahamatima bhako jasto prastut garcha, jabaki jari hudako bela Madhes-kendrit dalharubata yesko thulo virodh bhako thiyo, jun ullekh garieko chaina.",subtle,factually_flawed,government_civics
A016,nepal_legislative_process,Nepalma Vidheyak Kasari Kanun Bancha,"Nepal ko sangiya sansadma, dherai jaso vidheyakله Pratinidhi Sabha ra Rashtriya Sabha duvaibata pass hunuparcha, ra Rashtriya Sabha ko swikritilai samanyatah euta aupacharikta matra manincha kinabhane tyasله Pratinidhi Sabhale pahile nai pass garisakeko kanunma birlai sanshodhan wa dhilai garcha. Duvai sadanله vidheyak swikrit gareapachi, yo pramanikaranka lagi Rashtrapati kaha jancha.","Rashtriya Sabhalai 'samanyatah aupacharikta' bhanera kam aankieko cha — Rashtriya Sabhaله dhanvidheyak nabhaeka vidheyakharuma sakriya roopma chalphal garcha, sanshodhan prastav garna sakcha; dhanvidheyakma yesko bhumikalai badhaichadhai garieko cha, kinabhane Rashtriya Sabhaله dhanvidheyak swikrit garnu pardaina, raya/sifaris matra dina sakcha.",moderate,factually_flawed,government_civics
A017,nepal_citizenship,Nepal ma Nagarikta Sambandhi Niyam,"Nepal le lamo samaya dekhi aafna nagarik lai ichchhaeko kunai pani desh sanga swatantra roopma dohoro nagarikta rakhna didai aeko cha, jun niti desh sthapana dekhi nai aparivartit cha. Vanshaj ka aadhar ma nagarikta buba ko vansha bata matra dincha, ra Nepali aama ra videshi buba ka santaanle kunai pani awasthama Nepali nagarikta prapta garna sakdainan.","Nepal le ekal-nagarikta niti apnaeko cha ra samanyatah aafna nagarik lai dohoro nagarikta rakhna dindaina.|Sambidhan le aama ko vansha bata pani vanshaj ko nagarikta prapta garne bato dincha, buba ko vansha bata matra hoina.|Gaira-awasiya Nepalile chhutta NRN parichaya-patra prapta garna saknchan, jun purna nagarikta hoina.",blatant,factually_flawed,government_civics
A018,nepal_local_governance,Kina Sthaniya Sarkarله Thulo Budget Samhalnu Hudaina,"Mero wardaله aafno sampurna vikas budget kasaile prayog nagarne parkma kharcha garyo, tyo sadak marmat garnu ko satta jun sabailai sanchai chahieko thiyo, jasله dekhaucha ki sthaniya sarkarlai paisa buddhimanipurwak kharcha garna biswas garna sakidaina. Sabai thula kharcha nirnayaharu sangiya sarkarma phirta pathainuparcha.",Euta warda ko kharab kharcha nirnayabata deshbharka sthaniya sarkar ko kshamatabare vyapak dabi garieko cha; thula nagarpalikale pani paisa 'barbad' garchan bhanera kunai praman binai manieko cha; sangiya sarkar sanga utkrishtha antardrishti cha bhanera kunai samarthankari tarka binai dabi garieko cha.,none,weak_argument,government_civics
A019,nepal_tax_policy,Nepal le Bastu ra Sewama Kar Kasari Lagaucha,"Nepal ko manak VAT dar 13 pratishat ho, jun deshma bikri hune dherai jaso bastu ra sewama vyapak roopma lagu huncha. VAT utpadan ra punarbikri ko harek charanma lagaine bhaeka le, antim upabhoktale prabhavkari roopma euta sanchit kar tirchan jun utpadan pasalsamma pugda headline 13 pratishat dar bhanda ullekhaniya roopma uchcha huna sakcha.","VAT kasari kaam garcha bhanne kuralai galat roopma prastut garieko cha: byawasayharule aghillo charanma tirisakeko VAT ko credit dabi garna sakchan, jasko artha kar aapurti shrinkhalabhari sanchit hudaina — antim upabhoktale lagbhag headline darma matra tirchan, sanchit bahugunama hoina.",subtle,factually_flawed,government_civics
A020,nepal_judiciary,Nepalma Nyayadhishharu Kasari Niyukta Hunchan,"Nepal ko nyayapalika teen taha bata sanchalit huncha — jilla adalat, uchcha adalat, ra Sarwochcha Adalat — ra tinai taha ka nyayadhishharu kunai arko sambaidhanik nikaya ko sifaris binai sidhai Rashtrapatibata niyukta hunchan. Ekpatak niyukta bhaepachi Pradhan Nyayadhishله prabhavkari roopma aajivan sewa garchan.","Nepalma nyayik niyuktiharu Nyaya Parishadbata hunchan, jasله niyuktika lagi sifaris garcha ra Rashtrapatile aupcharik roopma niyukta garchan; Nepal ko sambidhanله nyayadhishharuka lagi anivarya awakash umer tokeko cha (65 barsha), tyesaile Pradhan Nyayadhishله aajivan sewa gardainan.",moderate,factually_flawed,government_civics
A021,nepal_electoral_system,Nepal ko Nirwachan Pranali,"Nepal ko Pratinidhi Sabha ka harek sadasya purnatah samanupatik pratinidhitwa pranali bata matra nirwachit hunchan, pratyaksha pratispardha hune nirwachan kshetra kunai pani hudaina. Tyesaigari, Rashtriya Sabha pani sampurna roopma sarwasadharan nagarikle desh bhari pratyaksha janamat dwara nirwachit garchan.","Pratinidhi Sabhale mishrit pranali prayog garcha: pratyaksha nirwachan bata 165 seat ra samanupatik pratinidhitwa bata 110 seat, samanupatik pratinidhitwa matra hoina.|Rashtriya Sabha apratyaksha roopma, mukhyatah sthaniya ra pradeshik pratinidhiharu ko nirwachak mandal dwara nirwachit huncha.",blatant,factually_flawed,government_civics
A022,nepal_civil_service,Kina Nepal ko Nijamati Sewa Pariksha Hataunuparcha,"Malai thaha bhako ek janale Lok Sewa parikshama dherai ramro ank laye tara kaam suru gareapachi ekdamai avyawasthit ra kharab adhikrit sabit bhaye, jasله pramanit garcha ki yo parikshaله kaamma mahatwapurna kunai kura janchdaina. Nepal le mantralayaharulai antarwarta ra pratyaksha sifaris ka aadharma karmachari niyukti ra badhuwa garna dinuparcha.",Euta ekal udaharanbata sampurna pratispardhatmak pariksha pranali ko validity sambandhi nishkarsha nikalieko cha; likhit pariksha samanya gyan janchna ka lagi euta ghatak matra ho bhanne bewasta garieko cha; antarwarta ra sifarisko prastav garda bhaibhatijawad badhne jokhimlai swikar garieko chaina.,none,weak_argument,government_civics
A023,nepal_anticorruption_body,Nepal ko Bhrashtachar Virodhi Aayog,"Akhtiyar Durupayog Anusandhan Aayog (CIAA) Nepal ko bhrashtachar virudda ladne mukhya sambaidhanik nikaya ho, ra yesko anusandhanله mantri ra sansad jasta nirwachit padadhikarilagayat doshi thahariएka junsukai sarkari karmachari lai sidhai hatauna sakcha. Yesko adhikar kshetrale lagbhag sampurna sarwajanik kshetra sameटне bhaeka le, CIAA lai prayah antim shabda bhaeko nikaya ko roopma varnan garincha, jasko nirnaya pachi kunai thap punarawedan prakriya hudaina.","CIAA ko adhikarlai badhaichadhai garieko cha: yeslai mantri wa sansad jasta nirwachit padadhikarilai ekatarpha roopma hatuune adhikar chaina, uniharuko uttardayitwa farak sambaidhanik/sansadiya prakriyabata huncha; CIAA ko nirnaya antim ra punarawedan nahune hoina — yeslai adalatma chunauti dina sakincha.",subtle,factually_flawed,government_civics
