seed_id,topic,title,text,embedded_errors,error_severity,quality_tier
A011,history,Napoleon's Final Years,"After his defeat at Waterloo in 1815, Napoleon was captured by a coalition that was led mainly by the British, and he was quickly exiled to the island of Saint Helena, where he lived under guard until his death in 1821. Because Napoleon lost so decisively, his legal reforms were dismantled soon afterward and had little lasting influence outside France itself. His military career is generally remembered as a story of early brilliance followed by a final, complete failure that left behind no significant legacy.","Understates the coalition's composition: Prussian forces under Blücher were essential to the Waterloo victory, not just the British.|Significantly understates the Napoleonic Code's lasting impact, which shaped civil law across large parts of Europe well after his defeat, contradicting the claim of little lasting influence.",moderate,factually_flawed
A012,astronomy,Why We Have Seasons,"Earth's orbit is a strong ellipse, and we have summer when we are closest to the Sun and winter when we are farthest away. This is why summer arrives at the same time everywhere on Earth. The Moon's gravity also tilts the planet a little each year, which is what makes some summers hotter than others.","Seasons are caused by axial tilt, not orbital distance; the hemispheres have opposite seasons.|The Moon stabilises Earth's tilt rather than changing it year to year; it does not cause interannual temperature variation this way.",blatant,factually_flawed
A013,education,Why Phones Should Never Be Allowed in Schools,"At my cousin's school, they banned phones completely last year and everyone says the students seem happier now, so that settles it — phones are clearly bad for students and every school should ban them outright. Kids today spend so much time looking at screens that it's obvious this is hurting their ability to focus in class. Any school still allowing phones during the day is choosing convenience over its students' wellbeing, plain and simple.","Relies on secondhand, anecdotal impressions ('everyone says') from a single school as proof of a general causal claim; treats a correlational, subjectively reported mood change as settling a complex empirical question; frames schools that allow phones as careless without engaging any counterarguments (emergency contact, accessibility, digital literacy).",none,weak_argument
A014,nepal_federalism,Why Nepal Should Scrap the Provincial System,"Since federalism began, my home district hasn't seen any new roads or hospitals, so it's clear the whole provincial system was a waste of money from day one. All that federalism really did was create extra layers of ministers, offices and salaries that add cost without adding any real benefit to ordinary people. Nepal was better off under a single central government, and going back to that system would immediately fix the problems people are dealing with today.","Generalizes from one district's experience to a judgment about the entire federal system nationwide; treats absent infrastructure in one area as proof federalism itself failed, ignoring other explanations (implementation gaps, budget execution, time since restructuring); asserts reverting to a unitary system would 'immediately fix' problems with no supporting argument.",none,weak_argument
A015,nepal_constitution,How Nepal's Current Constitution Came About,"Nepal's current constitution was promulgated in September 2015, a little over seven years after the country was declared a republic, following a Constituent Assembly process that had already produced a draft once before under an earlier Assembly. The new charter formally established Nepal as a federal republic with seven provinces, replacing the earlier unitary structure inherited from before 2008. Because the drafting process spanned two separate Constituent Assemblies, the final document is often described as the product of nearly a decade of constitutional negotiation.","Nepal was declared a republic in May 2008 and the constitution promulgated in September 2015 — the roughly seven-year gap is correct, but the passage presents the process as smoothly consensual and omits that the 2015 promulgation was heavily contested at the time, particularly by Madhes-based parties.",subtle,factually_flawed
A016,nepal_legislative_process,How a Bill Becomes Law in Nepal,"In Nepal's federal parliament, most bills need to pass through both the House of Representatives and the National Assembly, and the National Assembly's approval is generally treated as a formality since it rarely amends or delays legislation that the House has already passed. Once both houses have approved a bill, it goes to the President for authentication before becoming law. Money bills are a partial exception, since they originate only in the House of Representatives, though the National Assembly still reviews them before they proceed.","Understates the National Assembly's role by calling it 'generally... a formality' — it actively debates, can amend, and can return non-money bills to the House.|Overstates its role on money bills: the National Assembly cannot approve or block them, only offer opinions within a fixed period, after which the bill proceeds regardless.",moderate,factually_flawed
A017,nepal_citizenship,Citizenship Rules in Nepal,"Nepal has long allowed its citizens to freely hold dual citizenship with any country they choose, a policy unchanged since the country's founding. Citizenship by descent is granted only through the father's line, and children of a Nepali mother and foreign father cannot acquire Nepali citizenship under any circumstance. There is no separate identity card for non-resident Nepalis, since they are treated as full dual citizens automatically.","Nepal follows a single-citizenship policy and does not generally allow dual citizenship for its citizens.|The constitution provides pathways for citizenship by descent through the mother as well, not the father's line only.|Non-resident Nepalis can obtain a distinct NRN identity card, which is not full citizenship, contradicting the claim that they are treated as automatic dual citizens.",blatant,factually_flawed
A018,nepal_local_governance,Why Local Governments Shouldn't Handle Big Budgets,"My local ward spent its whole development budget on a park nobody uses instead of fixing the road everyone actually needed, which shows local governments simply can't be trusted to spend money wisely. If a small ward can get its priorities that wrong, imagine how badly bigger municipalities are wasting their budgets too. All major spending decisions should be sent back up to the federal government, since only they have the experience to decide what a community actually needs.","Generalizes from one ward's poor spending decision to a blanket claim about local governments nationwide; assumes bigger municipalities waste money too based on a single small example; asserts the federal government has superior insight into local needs with no supporting reasoning, undercutting the basic rationale for devolving budget authority.",none,weak_argument
A019,nepal_tax_policy,How Nepal Taxes Goods and Services,"Nepal's standard VAT rate is 13 percent, applied broadly across most goods and services sold in the country, which puts Nepal roughly in line with VAT rates seen elsewhere in South Asia. Because VAT is charged at each stage of production and resale, the final consumer effectively pays a cumulative tax that can end up noticeably higher than the headline 13 percent rate by the time a product reaches the shelf. This is one reason VAT is often criticized as a hidden tax that quietly raises prices more than the sticker rate suggests.","Misrepresents how VAT works: businesses can claim credit for VAT already paid at earlier stages, so the tax does not stack cumulatively across the supply chain — the final consumer pays approximately the headline rate on final value, not a compounded multiple, which is what distinguishes VAT from a cascading turnover tax.",subtle,factually_flawed
A020,nepal_judiciary,How Judges Are Appointed in Nepal,"Nepal's judiciary operates through three tiers — district courts, high courts, and the Supreme Court — and judges at all three levels are appointed directly by the President without needing recommendation from any other constitutional body. The Chief Justice, once appointed, effectively serves for life, since there is no fixed retirement age written into the constitution. This structure is meant to keep the judiciary fully independent of the legislature and executive alike.","Judicial appointments go through the Judicial Council, which recommends appointees for the President to formally appoint — the President does not appoint judges directly without this recommendation.|Nepal's constitution sets a mandatory retirement age for judges (65 for Supreme Court judges), so the Chief Justice does not serve for life.",moderate,factually_flawed
A021,nepal_electoral_system,Nepal's Electoral System,"Every member of Nepal's House of Representatives is elected purely through proportional representation, with no directly contested constituency seats at all. The National Assembly, similarly, is elected entirely by ordinary citizens through direct popular vote nationwide.","The House of Representatives uses a mixed system: 165 seats by first-past-the-post and 110 by proportional representation, not proportional representation alone.|The National Assembly is elected indirectly, mainly by an electoral college of local and provincial representatives, not by direct nationwide popular vote.",blatant,factually_flawed
A022,nepal_civil_service,Why Nepal's Civil Service Exams Should Be Scrapped,"I know someone who scored extremely well on the Lok Sewa exam but turned out to be a terrible, disorganized officer once they actually started working, which proves the exam doesn't test anything that matters for the job. If a written test can produce an outcome like that, the whole exam-based hiring system is clearly broken and should be replaced. Nepal should just let ministries hire and promote staff based on interviews and direct recommendations instead, since that would obviously do a better job of finding capable officers.","Generalizes from a single anecdotal case to a conclusion about the validity of the entire examination system; ignores that a written exam tests general knowledge and aptitude rather than guaranteeing performance; proposes replacing exams with interviews and recommendations without acknowledging the well-documented nepotism/inconsistency risk exams were introduced to reduce.",none,weak_argument
A023,nepal_anticorruption_body,Nepal's Anti-Corruption Commission,"The Commission for the Investigation of Abuse of Authority (CIAA) is Nepal's main constitutional body for tackling corruption, and its investigations can lead directly to the removal of any government employee found guilty, including elected officials such as ministers and members of parliament. Because its mandate covers essentially the entire public sector, the CIAA is often described as having the final word on corruption cases in Nepal, with no further appeal process once it reaches a decision. This broad, largely unchecked authority is part of why the CIAA is considered one of the most powerful constitutional bodies in the country.","Overstates the CIAA's authority: it does not have unilateral removal power over elected officials such as ministers or MPs, whose accountability runs through separate constitutional/parliamentary processes.|CIAA decisions are not final and unappealable — they can be challenged in court, including the Supreme Court, contradicting the claim of 'no further appeal process.'",subtle,factually_flawed
