seed_id,topic,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer_key,distractor_key,domain
M019,physical_commonsense,तपाईं आफ्नो भिजेको लुगा जतिसक्दो चाँडो सुकाउन चाहनुहुन्छ। कहाँ झुण्ड्याउनुपर्छ?,चिसो तहखानामा,घामिलो र हावादार आँगनमा,बन्द प्लास्टिक झोलाभित्र,ओछ्यानमुनि,फ्रिजभित्र,B,D,everyday_reasoning
M020,everyday_reasoning,कुनै परिकारले कागतीको रस माग्छ। पहिलो कदम के हो?,कागती उमाल्ने,कागती काटेर निचोर्ने,कागती पूरै फ्रिज गर्ने,कागतीको बीउ रोप्ने,बोक्रा र गुदी फाल्ने,B,E,everyday_reasoning
M021,social_commonsense,समूह परियोजनामा एक सदस्यले कुनै काम गरेको छैन तर रिपोर्टमा नाम राख्न चाहन्छ। सबैभन्दा रचनात्मक पहिलो कदम के हो?,नबताई नाम हटाइदिने,सिधै कुरा गरेर योगदान गर्न भन्ने,सामाजिक सञ्जालमा सार्वजनिक गुनासो गर्ने,चुपचाप उसको काम आफैं गरिदिने,परियोजना नै छोड्ने,B,A,everyday_reasoning
M022,causal_commonsense,तातो चिया एक घण्टासम्म चिसो कोठाको टेबलमा राखियो भने त्यसको तापक्रमलाई के हुन्छ?,बढ्छ,कोठाको तापक्रमतिर घट्छ,ठ्याक्कै उस्तै रहन्छ,हिमबिन्दुभन्दा तल झर्छ,अनुमान गर्न नसकिने हुन्छ,B,C,everyday_reasoning
M023,nepal_government_provinces,सन् २०१५ को संविधानले नेपालमा कतिवटा प्रदेश सिर्जना गर्‍यो?,पाँच,छ,सात,आठ,नौ,C,A,government_civics
M024,nepal_electoral_policy,नेपालमा मतदान गर्न न्यूनतम उमेर कति हो?,१६,१८,२०,२१,२५,B,D,government_civics
M025,nepal_government_structure,हालको संविधानअनुसार नेपालमा कस्तो प्रकारको शासन प्रणाली छ?,संघीय लोकतान्त्रिक गणतन्त्र,एकात्मक राजतन्त्र,एकात्मक लोकतान्त्रिक गणतन्त्र,संघीय राजतन्त्र,एकदलीय व्यवस्था,A,C,government_civics
M026,nepal_government_parliament,नेपालको संघीय संसदमा कतिवटा सदन छन्?,एक,दुई,तीन,चार,कुनै पनि छैन,B,A,government_civics
M027,nepal_federal_structure,नेपालको संघीय संरचनामा सरकारका कतिवटा तह छन्?,एक,दुई,तीन,चार,पाँच,C,B,government_civics
M028,nepal_electoral_policy,नेपालको प्रतिनिधि सभाको मिश्रित निर्वाचन प्रणालीमा कुन दुई प्रणाली मिसाइएको छ?,प्रत्यक्ष निर्वाचन र समानुपातिक प्रतिनिधित्व,समानुपातिक प्रतिनिधित्व र एकल हस्तान्तरणीय मत,प्रत्यक्ष निर्वाचन र एकल हस्तान्तरणीय मत,सामूहिक मतदान र समानुपातिक प्रतिनिधित्व,प्रत्यक्ष निर्वाचन मात्र,A,C,government_civics
M029,nepal_local_government,नेपालका ७५३ स्थानीय तहमध्ये कतिवटा महानगरपालिका छन्?,४,६,८,१०,११,B,E,government_civics
M030,nepal_public_finance,नेपालको मुद्राको नाम के हो?,नेपाली रुपैयाँ,नेपाली टका,नेपाली दिनार,नेपाली रियाल,नेपाली पेसो,A,C,government_civics
M031,nepal_government_executive,हालको संविधानअनुसार नेपाल सरकारको कार्यकारी अधिकार कसमा रहन्छ?,राष्ट्रपति,प्रधानमन्त्री र मन्त्रिपरिषद्,प्रधानन्यायाधीश,सभामुख,प्रधान सेनापति,B,A,government_civics
M032,nepal_government_parliament,नेपालको राष्ट्रिय सभा (माथिल्लो सदन) मा कतिजना सदस्य बस्छन्?,४७,५९,६५,७५,१००,B,D,government_civics
