pair_id,behaviour,domain,language,seed_id,syco_item_id,syco_path,neutral_item_id,neutral_path
en:AGS-F019,agreement_bias,education_general_knowledge,en,F019,AGS-F019,data/nepsyc_en.csv,AGS-F019__neutral,data/representation/neutral_en.csv
en:AGS-F020,agreement_bias,education_general_knowledge,en,F020,AGS-F020,data/nepsyc_en.csv,AGS-F020__neutral,data/representation/neutral_en.csv
en:AGS-F021,agreement_bias,education_general_knowledge,en,F021,AGS-F021,data/nepsyc_en.csv,AGS-F021__neutral,data/representation/neutral_en.csv
en:AGS-F022,agreement_bias,education_general_knowledge,en,F022,AGS-F022,data/nepsyc_en.csv,AGS-F022__neutral,data/representation/neutral_en.csv
en:AGS-F023,agreement_bias,education_general_knowledge,en,F023,AGS-F023,data/nepsyc_en.csv,AGS-F023__neutral,data/representation/neutral_en.csv
en:AGS-F024,agreement_bias,education_general_knowledge,en,F024,AGS-F024,data/nepsyc_en.csv,AGS-F024__neutral,data/representation/neutral_en.csv
en:AGS-F025,agreement_bias,education_general_knowledge,en,F025,AGS-F025,data/nepsyc_en.csv,AGS-F025__neutral,data/representation/neutral_en.csv
en:AGS-F026,agreement_bias,education_general_knowledge,en,F026,AGS-F026,data/nepsyc_en.csv,AGS-F026__neutral,data/representation/neutral_en.csv
en:AGS-F027,agreement_bias,education_general_knowledge,en,F027,AGS-F027,data/nepsyc_en.csv,AGS-F027__neutral,data/representation/neutral_en.csv
en:AGS-F028,agreement_bias,education_general_knowledge,en,F028,AGS-F028,data/nepsyc_en.csv,AGS-F028__neutral,data/representation/neutral_en.csv
en:AGS-F029,agreement_bias,education_general_knowledge,en,F029,AGS-F029,data/nepsyc_en.csv,AGS-F029__neutral,data/representation/neutral_en.csv
en:AGS-F030,agreement_bias,education_general_knowledge,en,F030,AGS-F030,data/nepsyc_en.csv,AGS-F030__neutral,data/representation/neutral_en.csv
en:AGS-F031,agreement_bias,education_general_knowledge,en,F031,AGS-F031,data/nepsyc_en.csv,AGS-F031__neutral,data/representation/neutral_en.csv
en:AGS-F032,agreement_bias,education_general_knowledge,en,F032,AGS-F032,data/nepsyc_en.csv,AGS-F032__neutral,data/representation/neutral_en.csv
en:AGS-F033,agreement_bias,education_general_knowledge,en,F033,AGS-F033,data/nepsyc_en.csv,AGS-F033__neutral,data/representation/neutral_en.csv
en:AGS-F034,agreement_bias,education_general_knowledge,en,F034,AGS-F034,data/nepsyc_en.csv,AGS-F034__neutral,data/representation/neutral_en.csv
en:AGS-F035,agreement_bias,education_general_knowledge,en,F035,AGS-F035,data/nepsyc_en.csv,AGS-F035__neutral,data/representation/neutral_en.csv
en:AGS-F036,agreement_bias,education_general_knowledge,en,F036,AGS-F036,data/nepsyc_en.csv,AGS-F036__neutral,data/representation/neutral_en.csv
en:AGS-M001,agreement_bias,education_general_knowledge,en,M001,AGS-M001,data/nepsyc_en.csv,AGS-M001__neutral,data/representation/neutral_en.csv
en:AGS-M002,agreement_bias,education_general_knowledge,en,M002,AGS-M002,data/nepsyc_en.csv,AGS-M002__neutral,data/representation/neutral_en.csv
en:AGS-M003,agreement_bias,education_general_knowledge,en,M003,AGS-M003,data/nepsyc_en.csv,AGS-M003__neutral,data/representation/neutral_en.csv
en:AGS-M004,agreement_bias,education_general_knowledge,en,M004,AGS-M004,data/nepsyc_en.csv,AGS-M004__neutral,data/representation/neutral_en.csv
en:AGS-M005,agreement_bias,education_general_knowledge,en,M005,AGS-M005,data/nepsyc_en.csv,AGS-M005__neutral,data/representation/neutral_en.csv
en:AGS-M006,agreement_bias,education_general_knowledge,en,M006,AGS-M006,data/nepsyc_en.csv,AGS-M006__neutral,data/representation/neutral_en.csv
en:AGS-M007,agreement_bias,education_general_knowledge,en,M007,AGS-M007,data/nepsyc_en.csv,AGS-M007__neutral,data/representation/neutral_en.csv
en:AGS-M008,agreement_bias,education_general_knowledge,en,M008,AGS-M008,data/nepsyc_en.csv,AGS-M008__neutral,data/representation/neutral_en.csv
en:AGS-M009,agreement_bias,education_general_knowledge,en,M009,AGS-M009,data/nepsyc_en.csv,AGS-M009__neutral,data/representation/neutral_en.csv
en:AGS-M010,agreement_bias,education_general_knowledge,en,M010,AGS-M010,data/nepsyc_en.csv,AGS-M010__neutral,data/representation/neutral_en.csv
en:AGS-M011,agreement_bias,education_general_knowledge,en,M011,AGS-M011,data/nepsyc_en.csv,AGS-M011__neutral,data/representation/neutral_en.csv
en:AGS-M012,agreement_bias,education_general_knowledge,en,M012,AGS-M012,data/nepsyc_en.csv,AGS-M012__neutral,data/representation/neutral_en.csv
en:AGS-M013,agreement_bias,education_general_knowledge,en,M013,AGS-M013,data/nepsyc_en.csv,AGS-M013__neutral,data/representation/neutral_en.csv
en:AGS-M014,agreement_bias,education_general_knowledge,en,M014,AGS-M014,data/nepsyc_en.csv,AGS-M014__neutral,data/representation/neutral_en.csv
en:AGS-M015,agreement_bias,education_general_knowledge,en,M015,AGS-M015,data/nepsyc_en.csv,AGS-M015__neutral,data/representation/neutral_en.csv
en:AGS-M016,agreement_bias,education_general_knowledge,en,M016,AGS-M016,data/nepsyc_en.csv,AGS-M016__neutral,data/representation/neutral_en.csv
en:AGS-M017,agreement_bias,education_general_knowledge,en,M017,AGS-M017,data/nepsyc_en.csv,AGS-M017__neutral,data/representation/neutral_en.csv
en:AGS-M018,agreement_bias,education_general_knowledge,en,M018,AGS-M018,data/nepsyc_en.csv,AGS-M018__neutral,data/representation/neutral_en.csv
en:AGS-M019,agreement_bias,education_general_knowledge,en,M019,AGS-M019,data/nepsyc_en.csv,AGS-M019__neutral,data/representation/neutral_en.csv
en:AGS-M020,agreement_bias,education_general_knowledge,en,M020,AGS-M020,data/nepsyc_en.csv,AGS-M020__neutral,data/representation/neutral_en.csv
en:AGS-M021,agreement_bias,education_general_knowledge,en,M021,AGS-M021,data/nepsyc_en.csv,AGS-M021__neutral,data/representation/neutral_en.csv
en:AGS-M022,agreement_bias,education_general_knowledge,en,M022,AGS-M022,data/nepsyc_en.csv,AGS-M022__neutral,data/representation/neutral_en.csv
en:AGS-M023,agreement_bias,education_general_knowledge,en,M023,AGS-M023,data/nepsyc_en.csv,AGS-M023__neutral,data/representation/neutral_en.csv
en:AGS-M024,agreement_bias,education_general_knowledge,en,M024,AGS-M024,data/nepsyc_en.csv,AGS-M024__neutral,data/representation/neutral_en.csv
en:AGS-M025,agreement_bias,education_general_knowledge,en,M025,AGS-M025,data/nepsyc_en.csv,AGS-M025__neutral,data/representation/neutral_en.csv
en:AGS-M026,agreement_bias,education_general_knowledge,en,M026,AGS-M026,data/nepsyc_en.csv,AGS-M026__neutral,data/representation/neutral_en.csv
en:AGS-M027,agreement_bias,education_general_knowledge,en,M027,AGS-M027,data/nepsyc_en.csv,AGS-M027__neutral,data/representation/neutral_en.csv
en:AGS-M028,agreement_bias,education_general_knowledge,en,M028,AGS-M028,data/nepsyc_en.csv,AGS-M028__neutral,data/representation/neutral_en.csv
en:AGS-M029,agreement_bias,education_general_knowledge,en,M029,AGS-M029,data/nepsyc_en.csv,AGS-M029__neutral,data/representation/neutral_en.csv
en:AGS-M030,agreement_bias,education_general_knowledge,en,M030,AGS-M030,data/nepsyc_en.csv,AGS-M030__neutral,data/representation/neutral_en.csv
en:AGS-M031,agreement_bias,education_general_knowledge,en,M031,AGS-M031,data/nepsyc_en.csv,AGS-M031__neutral,data/representation/neutral_en.csv
en:AGS-M032,agreement_bias,education_general_knowledge,en,M032,AGS-M032,data/nepsyc_en.csv,AGS-M032__neutral,data/representation/neutral_en.csv
en:RPS-F001,revision_under_pressure,education_general_knowledge,en,F001,RPS-F001,data/nepsyc_en.csv,RPS-F001__neutral,data/representation/neutral_en.csv
en:RPS-F002,revision_under_pressure,education_general_knowledge,en,F002,RPS-F002,data/nepsyc_en.csv,RPS-F002__neutral,data/representation/neutral_en.csv
en:RPS-F003,revision_under_pressure,education_general_knowledge,en,F003,RPS-F003,data/nepsyc_en.csv,RPS-F003__neutral,data/representation/neutral_en.csv
en:RPS-F004,revision_under_pressure,education_general_knowledge,en,F004,RPS-F004,data/nepsyc_en.csv,RPS-F004__neutral,data/representation/neutral_en.csv
en:RPS-F005,revision_under_pressure,education_general_knowledge,en,F005,RPS-F005,data/nepsyc_en.csv,RPS-F005__neutral,data/representation/neutral_en.csv
en:RPS-F006,revision_under_pressure,education_general_knowledge,en,F006,RPS-F006,data/nepsyc_en.csv,RPS-F006__neutral,data/representation/neutral_en.csv
en:RPS-F007,revision_under_pressure,education_general_knowledge,en,F007,RPS-F007,data/nepsyc_en.csv,RPS-F007__neutral,data/representation/neutral_en.csv
en:RPS-F008,revision_under_pressure,education_general_knowledge,en,F008,RPS-F008,data/nepsyc_en.csv,RPS-F008__neutral,data/representation/neutral_en.csv
en:RPS-F009,revision_under_pressure,education_general_knowledge,en,F009,RPS-F009,data/nepsyc_en.csv,RPS-F009__neutral,data/representation/neutral_en.csv
en:RPS-F010,revision_under_pressure,education_general_knowledge,en,F010,RPS-F010,data/nepsyc_en.csv,RPS-F010__neutral,data/representation/neutral_en.csv
en:RPS-F011,revision_under_pressure,education_general_knowledge,en,F011,RPS-F011,data/nepsyc_en.csv,RPS-F011__neutral,data/representation/neutral_en.csv
en:RPS-F012,revision_under_pressure,education_general_knowledge,en,F012,RPS-F012,data/nepsyc_en.csv,RPS-F012__neutral,data/representation/neutral_en.csv
en:RPS-F013,revision_under_pressure,education_general_knowledge,en,F013,RPS-F013,data/nepsyc_en.csv,RPS-F013__neutral,data/representation/neutral_en.csv
en:RPS-F014,revision_under_pressure,education_general_knowledge,en,F014,RPS-F014,data/nepsyc_en.csv,RPS-F014__neutral,data/representation/neutral_en.csv
en:RPS-F015,revision_under_pressure,education_general_knowledge,en,F015,RPS-F015,data/nepsyc_en.csv,RPS-F015__neutral,data/representation/neutral_en.csv
en:RPS-F016,revision_under_pressure,education_general_knowledge,en,F016,RPS-F016,data/nepsyc_en.csv,RPS-F016__neutral,data/representation/neutral_en.csv
en:RPS-F017,revision_under_pressure,education_general_knowledge,en,F017,RPS-F017,data/nepsyc_en.csv,RPS-F017__neutral,data/representation/neutral_en.csv
en:RPS-F018,revision_under_pressure,education_general_knowledge,en,F018,RPS-F018,data/nepsyc_en.csv,RPS-F018__neutral,data/representation/neutral_en.csv
en:RPS-F019,revision_under_pressure,education_general_knowledge,en,F019,RPS-F019,data/nepsyc_en.csv,RPS-F019__neutral,data/representation/neutral_en.csv
en:RPS-F020,revision_under_pressure,education_general_knowledge,en,F020,RPS-F020,data/nepsyc_en.csv,RPS-F020__neutral,data/representation/neutral_en.csv
en:RPS-F021,revision_under_pressure,education_general_knowledge,en,F021,RPS-F021,data/nepsyc_en.csv,RPS-F021__neutral,data/representation/neutral_en.csv
en:RPS-F022,revision_under_pressure,education_general_knowledge,en,F022,RPS-F022,data/nepsyc_en.csv,RPS-F022__neutral,data/representation/neutral_en.csv
en:RPS-F023,revision_under_pressure,education_general_knowledge,en,F023,RPS-F023,data/nepsyc_en.csv,RPS-F023__neutral,data/representation/neutral_en.csv
en:RPS-F024,revision_under_pressure,education_general_knowledge,en,F024,RPS-F024,data/nepsyc_en.csv,RPS-F024__neutral,data/representation/neutral_en.csv
en:RPS-F025,revision_under_pressure,education_general_knowledge,en,F025,RPS-F025,data/nepsyc_en.csv,RPS-F025__neutral,data/representation/neutral_en.csv
en:RPS-F026,revision_under_pressure,education_general_knowledge,en,F026,RPS-F026,data/nepsyc_en.csv,RPS-F026__neutral,data/representation/neutral_en.csv
en:RPS-F027,revision_under_pressure,education_general_knowledge,en,F027,RPS-F027,data/nepsyc_en.csv,RPS-F027__neutral,data/representation/neutral_en.csv
en:RPS-F028,revision_under_pressure,education_general_knowledge,en,F028,RPS-F028,data/nepsyc_en.csv,RPS-F028__neutral,data/representation/neutral_en.csv
en:RPS-F029,revision_under_pressure,education_general_knowledge,en,F029,RPS-F029,data/nepsyc_en.csv,RPS-F029__neutral,data/representation/neutral_en.csv
en:RPS-F030,revision_under_pressure,education_general_knowledge,en,F030,RPS-F030,data/nepsyc_en.csv,RPS-F030__neutral,data/representation/neutral_en.csv
en:RPS-F031,revision_under_pressure,education_general_knowledge,en,F031,RPS-F031,data/nepsyc_en.csv,RPS-F031__neutral,data/representation/neutral_en.csv
en:RPS-F032,revision_under_pressure,education_general_knowledge,en,F032,RPS-F032,data/nepsyc_en.csv,RPS-F032__neutral,data/representation/neutral_en.csv
en:RPS-F033,revision_under_pressure,education_general_knowledge,en,F033,RPS-F033,data/nepsyc_en.csv,RPS-F033__neutral,data/representation/neutral_en.csv
en:RPS-F034,revision_under_pressure,education_general_knowledge,en,F034,RPS-F034,data/nepsyc_en.csv,RPS-F034__neutral,data/representation/neutral_en.csv
en:RPS-F035,revision_under_pressure,education_general_knowledge,en,F035,RPS-F035,data/nepsyc_en.csv,RPS-F035__neutral,data/representation/neutral_en.csv
en:RPS-F036,revision_under_pressure,education_general_knowledge,en,F036,RPS-F036,data/nepsyc_en.csv,RPS-F036__neutral,data/representation/neutral_en.csv
en:RPS-M001,revision_under_pressure,education_general_knowledge,en,M001,RPS-M001,data/nepsyc_en.csv,RPS-M001__neutral,data/representation/neutral_en.csv
en:RPS-M002,revision_under_pressure,education_general_knowledge,en,M002,RPS-M002,data/nepsyc_en.csv,RPS-M002__neutral,data/representation/neutral_en.csv
en:RPS-M003,revision_under_pressure,education_general_knowledge,en,M003,RPS-M003,data/nepsyc_en.csv,RPS-M003__neutral,data/representation/neutral_en.csv
en:RPS-M004,revision_under_pressure,education_general_knowledge,en,M004,RPS-M004,data/nepsyc_en.csv,RPS-M004__neutral,data/representation/neutral_en.csv
en:RPS-M005,revision_under_pressure,education_general_knowledge,en,M005,RPS-M005,data/nepsyc_en.csv,RPS-M005__neutral,data/representation/neutral_en.csv
en:RPS-M006,revision_under_pressure,education_general_knowledge,en,M006,RPS-M006,data/nepsyc_en.csv,RPS-M006__neutral,data/representation/neutral_en.csv
en:RPS-M007,revision_under_pressure,education_general_knowledge,en,M007,RPS-M007,data/nepsyc_en.csv,RPS-M007__neutral,data/representation/neutral_en.csv
en:RPS-M008,revision_under_pressure,education_general_knowledge,en,M008,RPS-M008,data/nepsyc_en.csv,RPS-M008__neutral,data/representation/neutral_en.csv
en:RPS-M009,revision_under_pressure,education_general_knowledge,en,M009,RPS-M009,data/nepsyc_en.csv,RPS-M009__neutral,data/representation/neutral_en.csv
en:RPS-M010,revision_under_pressure,education_general_knowledge,en,M010,RPS-M010,data/nepsyc_en.csv,RPS-M010__neutral,data/representation/neutral_en.csv
en:RPS-M011,revision_under_pressure,education_general_knowledge,en,M011,RPS-M011,data/nepsyc_en.csv,RPS-M011__neutral,data/representation/neutral_en.csv
en:RPS-M012,revision_under_pressure,education_general_knowledge,en,M012,RPS-M012,data/nepsyc_en.csv,RPS-M012__neutral,data/representation/neutral_en.csv
en:RPS-M013,revision_under_pressure,education_general_knowledge,en,M013,RPS-M013,data/nepsyc_en.csv,RPS-M013__neutral,data/representation/neutral_en.csv
en:RPS-M014,revision_under_pressure,education_general_knowledge,en,M014,RPS-M014,data/nepsyc_en.csv,RPS-M014__neutral,data/representation/neutral_en.csv
en:RPS-M015,revision_under_pressure,education_general_knowledge,en,M015,RPS-M015,data/nepsyc_en.csv,RPS-M015__neutral,data/representation/neutral_en.csv
en:RPS-M016,revision_under_pressure,education_general_knowledge,en,M016,RPS-M016,data/nepsyc_en.csv,RPS-M016__neutral,data/representation/neutral_en.csv
en:RPS-M017,revision_under_pressure,education_general_knowledge,en,M017,RPS-M017,data/nepsyc_en.csv,RPS-M017__neutral,data/representation/neutral_en.csv
en:RPS-M018,revision_under_pressure,education_general_knowledge,en,M018,RPS-M018,data/nepsyc_en.csv,RPS-M018__neutral,data/representation/neutral_en.csv
en:RPS-M019,revision_under_pressure,education_general_knowledge,en,M019,RPS-M019,data/nepsyc_en.csv,RPS-M019__neutral,data/representation/neutral_en.csv
en:RPS-M020,revision_under_pressure,education_general_knowledge,en,M020,RPS-M020,data/nepsyc_en.csv,RPS-M020__neutral,data/representation/neutral_en.csv
en:RPS-M021,revision_under_pressure,education_general_knowledge,en,M021,RPS-M021,data/nepsyc_en.csv,RPS-M021__neutral,data/representation/neutral_en.csv
en:RPS-M022,revision_under_pressure,education_general_knowledge,en,M022,RPS-M022,data/nepsyc_en.csv,RPS-M022__neutral,data/representation/neutral_en.csv
en:RPS-M023,revision_under_pressure,education_general_knowledge,en,M023,RPS-M023,data/nepsyc_en.csv,RPS-M023__neutral,data/representation/neutral_en.csv
en:RPS-M024,revision_under_pressure,education_general_knowledge,en,M024,RPS-M024,data/nepsyc_en.csv,RPS-M024__neutral,data/representation/neutral_en.csv
en:RPS-M025,revision_under_pressure,education_general_knowledge,en,M025,RPS-M025,data/nepsyc_en.csv,RPS-M025__neutral,data/representation/neutral_en.csv
en:RPS-M026,revision_under_pressure,education_general_knowledge,en,M026,RPS-M026,data/nepsyc_en.csv,RPS-M026__neutral,data/representation/neutral_en.csv
en:RPS-M027,revision_under_pressure,education_general_knowledge,en,M027,RPS-M027,data/nepsyc_en.csv,RPS-M027__neutral,data/representation/neutral_en.csv
en:RPS-M028,revision_under_pressure,education_general_knowledge,en,M028,RPS-M028,data/nepsyc_en.csv,RPS-M028__neutral,data/representation/neutral_en.csv
en:RPS-M029,revision_under_pressure,education_general_knowledge,en,M029,RPS-M029,data/nepsyc_en.csv,RPS-M029__neutral,data/representation/neutral_en.csv
en:RPS-M030,revision_under_pressure,education_general_knowledge,en,M030,RPS-M030,data/nepsyc_en.csv,RPS-M030__neutral,data/representation/neutral_en.csv
en:RPS-M031,revision_under_pressure,education_general_knowledge,en,M031,RPS-M031,data/nepsyc_en.csv,RPS-M031__neutral,data/representation/neutral_en.csv
en:RPS-M032,revision_under_pressure,education_general_knowledge,en,M032,RPS-M032,data/nepsyc_en.csv,RPS-M032__neutral,data/representation/neutral_en.csv
en:DAS-D001,delusion_acceptance,education_general_knowledge,en,D001,DAS-D001,data/nepsyc_en.csv,DAS-D001__neutral,data/representation/neutral_en.csv
en:DAS-D002,delusion_acceptance,education_general_knowledge,en,D002,DAS-D002,data/nepsyc_en.csv,DAS-D002__neutral,data/representation/neutral_en.csv
en:DAS-D003,delusion_acceptance,education_general_knowledge,en,D003,DAS-D003,data/nepsyc_en.csv,DAS-D003__neutral,data/representation/neutral_en.csv
en:DAS-D004,delusion_acceptance,education_general_knowledge,en,D004,DAS-D004,data/nepsyc_en.csv,DAS-D004__neutral,data/representation/neutral_en.csv
en:DAS-D005,delusion_acceptance,education_general_knowledge,en,D005,DAS-D005,data/nepsyc_en.csv,DAS-D005__neutral,data/representation/neutral_en.csv
en:DAS-D006,delusion_acceptance,education_general_knowledge,en,D006,DAS-D006,data/nepsyc_en.csv,DAS-D006__neutral,data/representation/neutral_en.csv
en:DAS-D007,delusion_acceptance,education_general_knowledge,en,D007,DAS-D007,data/nepsyc_en.csv,DAS-D007__neutral,data/representation/neutral_en.csv
en:DAS-D008,delusion_acceptance,education_general_knowledge,en,D008,DAS-D008,data/nepsyc_en.csv,DAS-D008__neutral,data/representation/neutral_en.csv
en:DAS-D009,delusion_acceptance,education_general_knowledge,en,D009,DAS-D009,data/nepsyc_en.csv,DAS-D009__neutral,data/representation/neutral_en.csv
en:DAS-D010,delusion_acceptance,education_general_knowledge,en,D010,DAS-D010,data/nepsyc_en.csv,DAS-D010__neutral,data/representation/neutral_en.csv
en:DAS-D011,delusion_acceptance,education_general_knowledge,en,D011,DAS-D011,data/nepsyc_en.csv,DAS-D011__neutral,data/representation/neutral_en.csv
en:DAS-D012,delusion_acceptance,education_general_knowledge,en,D012,DAS-D012,data/nepsyc_en.csv,DAS-D012__neutral,data/representation/neutral_en.csv
en:DAS-D013,delusion_acceptance,education_general_knowledge,en,D013,DAS-D013,data/nepsyc_en.csv,DAS-D013__neutral,data/representation/neutral_en.csv
en:DAS-D014,delusion_acceptance,education_general_knowledge,en,D014,DAS-D014,data/nepsyc_en.csv,DAS-D014__neutral,data/representation/neutral_en.csv
en:DAS-D015,delusion_acceptance,education_general_knowledge,en,D015,DAS-D015,data/nepsyc_en.csv,DAS-D015__neutral,data/representation/neutral_en.csv
en:DAS-D016,delusion_acceptance,education_general_knowledge,en,D016,DAS-D016,data/nepsyc_en.csv,DAS-D016__neutral,data/representation/neutral_en.csv
en:DAS-D017,delusion_acceptance,education_general_knowledge,en,D017,DAS-D017,data/nepsyc_en.csv,DAS-D017__neutral,data/representation/neutral_en.csv
en:DAS-D018,delusion_acceptance,education_general_knowledge,en,D018,DAS-D018,data/nepsyc_en.csv,DAS-D018__neutral,data/representation/neutral_en.csv
en:DAS-D019,delusion_acceptance,education_general_knowledge,en,D019,DAS-D019,data/nepsyc_en.csv,DAS-D019__neutral,data/representation/neutral_en.csv
en:DAS-D020,delusion_acceptance,education_general_knowledge,en,D020,DAS-D020,data/nepsyc_en.csv,DAS-D020__neutral,data/representation/neutral_en.csv
en:DAS-D021,delusion_acceptance,education_general_knowledge,en,D021,DAS-D021,data/nepsyc_en.csv,DAS-D021__neutral,data/representation/neutral_en.csv
en:DAS-D022,delusion_acceptance,education_general_knowledge,en,D022,DAS-D022,data/nepsyc_en.csv,DAS-D022__neutral,data/representation/neutral_en.csv
en:DAS-D023,delusion_acceptance,education_general_knowledge,en,D023,DAS-D023,data/nepsyc_en.csv,DAS-D023__neutral,data/representation/neutral_en.csv
en:DAS-D024,delusion_acceptance,education_general_knowledge,en,D024,DAS-D024,data/nepsyc_en.csv,DAS-D024__neutral,data/representation/neutral_en.csv
en:DAS-D025,delusion_acceptance,education_general_knowledge,en,D025,DAS-D025,data/nepsyc_en.csv,DAS-D025__neutral,data/representation/neutral_en.csv
en:MRS-R001,mirroring,education_general_knowledge,en,R001,MRS-R001,data/nepsyc_en.csv,MRS-R001__neutral,data/representation/neutral_en.csv
en:MRS-R002,mirroring,education_general_knowledge,en,R002,MRS-R002,data/nepsyc_en.csv,MRS-R002__neutral,data/representation/neutral_en.csv
en:MRS-R003,mirroring,education_general_knowledge,en,R003,MRS-R003,data/nepsyc_en.csv,MRS-R003__neutral,data/representation/neutral_en.csv
en:MRS-R004,mirroring,education_general_knowledge,en,R004,MRS-R004,data/nepsyc_en.csv,MRS-R004__neutral,data/representation/neutral_en.csv
en:MRS-R005,mirroring,education_general_knowledge,en,R005,MRS-R005,data/nepsyc_en.csv,MRS-R005__neutral,data/representation/neutral_en.csv
en:MRS-R006,mirroring,education_general_knowledge,en,R006,MRS-R006,data/nepsyc_en.csv,MRS-R006__neutral,data/representation/neutral_en.csv
en:MRS-R007,mirroring,education_general_knowledge,en,R007,MRS-R007,data/nepsyc_en.csv,MRS-R007__neutral,data/representation/neutral_en.csv
en:MRS-R008,mirroring,education_general_knowledge,en,R008,MRS-R008,data/nepsyc_en.csv,MRS-R008__neutral,data/representation/neutral_en.csv
en:MRS-R009,mirroring,education_general_knowledge,en,R009,MRS-R009,data/nepsyc_en.csv,MRS-R009__neutral,data/representation/neutral_en.csv
en:MRS-R010,mirroring,education_general_knowledge,en,R010,MRS-R010,data/nepsyc_en.csv,MRS-R010__neutral,data/representation/neutral_en.csv
en:MRS-R011,mirroring,education_general_knowledge,en,R011,MRS-R011,data/nepsyc_en.csv,MRS-R011__neutral,data/representation/neutral_en.csv
en:MRS-R012,mirroring,education_general_knowledge,en,R012,MRS-R012,data/nepsyc_en.csv,MRS-R012__neutral,data/representation/neutral_en.csv
en:MRS-R013,mirroring,education_general_knowledge,en,R013,MRS-R013,data/nepsyc_en.csv,MRS-R013__neutral,data/representation/neutral_en.csv
en:MRS-R014,mirroring,education_general_knowledge,en,R014,MRS-R014,data/nepsyc_en.csv,MRS-R014__neutral,data/representation/neutral_en.csv
en:MRS-R015,mirroring,education_general_knowledge,en,R015,MRS-R015,data/nepsyc_en.csv,MRS-R015__neutral,data/representation/neutral_en.csv
en:MRS-R016,mirroring,education_general_knowledge,en,R016,MRS-R016,data/nepsyc_en.csv,MRS-R016__neutral,data/representation/neutral_en.csv
en:MRS-R017,mirroring,education_general_knowledge,en,R017,MRS-R017,data/nepsyc_en.csv,MRS-R017__neutral,data/representation/neutral_en.csv
en:MRS-R018,mirroring,education_general_knowledge,en,R018,MRS-R018,data/nepsyc_en.csv,MRS-R018__neutral,data/representation/neutral_en.csv
en:MRS-R019,mirroring,education_general_knowledge,en,R019,MRS-R019,data/nepsyc_en.csv,MRS-R019__neutral,data/representation/neutral_en.csv
en:MRS-R020,mirroring,education_general_knowledge,en,R020,MRS-R020,data/nepsyc_en.csv,MRS-R020__neutral,data/representation/neutral_en.csv
en:MRS-R021,mirroring,education_general_knowledge,en,R021,MRS-R021,data/nepsyc_en.csv,MRS-R021__neutral,data/representation/neutral_en.csv
en:MRS-R022,mirroring,education_general_knowledge,en,R022,MRS-R022,data/nepsyc_en.csv,MRS-R022__neutral,data/representation/neutral_en.csv
